Total,TimeBin,Women,Men,ESH,ESF,SEH,SEF,V1H,V1F,V2H,V2F,V3H,V3F,V4H,V4F
0,300 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,315 min,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2,330 min,0,2,0,0,2,0,0,0,0,0,0,0,0,0
4,345 min,0,4,1,0,2,0,1,0,0,0,0,0,0,0
2,360 min,0,2,1,0,1,0,0,0,0,0,0,0,0,0
5,375 min,0,5,0,0,2,0,3,0,0,0,0,0,0,0
4,390 min,0,4,0,0,3,0,1,0,0,0,0,0,0,0
11,405 min,1,10,1,0,7,1,2,0,0,0,0,0,0,0
5,420 min,0,5,0,0,3,0,2,0,0,0,0,0,0,0
8,435 min,0,8,0,0,4,0,3,0,1,0,0,0,0,0
18,450 min,3,15,0,0,8,3,5,0,2,0,0,0,0,0
18,465 min,5,13,0,0,6,3,5,2,1,0,1,0,0,0
15,480 min,2,13,0,0,6,2,6,0,1,0,0,0,0,0
14,495 min,2,12,0,0,11,2,1,0,0,0,0,0,0,0
37,510 min,3,34,2,0,21,2,8,1,3,0,0,0,0,0
31,525 min,4,27,0,1,19,2,6,1,1,0,1,0,0,0
36,540 min,7,29,0,0,19,4,8,2,2,1,0,0,0,0
50,555 min,9,41,1,0,20,6,18,3,1,0,1,0,0,0
46,570 min,2,44,0,0,21,2,19,0,4,0,0,0,0,0
49,585 min,8,41,0,0,21,4,15,2,5,2,0,0,0,0
57,600 min,12,45,0,0,21,6,21,6,2,0,1,0,0,0
53,615 min,21,32,0,0,14,11,12,7,5,2,1,1,0,0
42,630 min,6,36,0,0,17,2,12,4,6,0,1,0,0,0
48,645 min,11,37,0,0,20,7,10,3,5,1,2,0,0,0
78,660 min,19,59,0,0,26,7,21,10,11,2,1,0,0,0
53,675 min,18,35,0,0,13,9,16,9,3,0,3,0,0,0
79,690 min,29,50,1,1,17,14,22,8,7,6,3,0,0,0
65,705 min,27,38,0,0,15,17,12,7,11,3,0,0,0,0
55,720 min,13,42,2,0,12,5,13,7,9,1,5,0,1,0
44,735 min,12,32,0,0,11,3,9,5,9,3,3,1,0,0
56,750 min,12,44,0,0,15,3,12,4,15,5,2,0,0,0
50,765 min,21,29,0,0,9,8,10,6,7,7,3,0,0,0
47,780 min,16,31,0,0,6,4,13,11,10,1,2,0,0,0
38,795 min,13,25,0,0,8,2,12,10,4,1,1,0,0,0
18,810 min,7,11,0,0,4,0,6,4,1,3,0,0,0,0
33,825 min,9,24,0,0,6,1,11,4,3,3,2,0,2,1
27,840 min,12,15,0,0,4,5,4,3,6,4,1,0,0,0
13,855 min,8,5,0,0,0,3,2,2,1,3,1,0,1,0
18,870 min,6,12,0,0,0,0,5,2,7,4,0,0,0,0
1,885 min,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,900 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
