SEH 16/08 12:50:08 4:43:48
SEH 16/08 13:14:39 5:08:19 0:24:31
V1H 16/08 13:19:12 5:12:52 0:29:04
SEH 16/08 13:36:28 5:30:08 0:46:20
SEF 16/08 13:41:48 5:35:28 0:51:40
SEH 16/08 13:44:23 5:38:03 0:54:15
SEH 16/08 13:58:34 5:52:14 1:08:26
SEH 16/08 14:04:36 5:58:16 1:14:28
V2H 16/08 14:05:24 5:59:04 1:15:16
SEH 16/08 14:05:43 5:59:23 1:15:35
V1H 16/08 14:08:46 6:02:26 1:18:38
SEH 16/08 14:16:18 6:09:58 1:26:10
SEH 16/08 14:20:05 6:13:45 1:29:57
V1H 16/08 14:22:59 6:16:39 1:32:51
SEH 16/08 14:25:35 6:19:15 1:35:27
V1H 16/08 14:32:13 6:25:53 1:42:05
V1H 16/08 14:36:04 6:29:44 1:45:56
SEH 16/08 14:36:52 6:30:32 1:46:44
SEH 16/08 14:39:40 6:33:20 1:49:32
ESH 16/08 14:42:30 6:36:10 1:52:22
SEH 16/08 14:43:16 6:36:56 1:53:08
SEH 16/08 14:44:57 6:38:37 1:54:49
V1F 16/08 14:50:14 6:43:54 2:00:06
SEH 16/08 14:52:06 6:45:46 2:01:58
SEH 16/08 14:52:42 6:46:22 2:02:34
SEF 16/08 14:53:40 6:47:20 2:03:32
SEH 16/08 14:58:51 6:52:31 2:08:43
SEH 16/08 15:00:16 6:53:56 2:10:08
V1H 16/08 15:00:23 6:54:03 2:10:15
V1H 16/08 15:01:54 6:55:34 2:11:46
V2H 16/08 15:02:05 6:55:45 2:11:57
SEH 16/08 15:04:25 6:58:05 2:14:17
SEH 16/08 15:06:41 7:00:21 2:16:33
SEH 16/08 15:11:22 7:05:02 2:21:14
SEH 16/08 15:14:13 7:07:53 2:24:05
SEH 16/08 15:15:52 7:09:32 2:25:44
SEF 16/08 15:20:16 7:13:56 2:30:08
V2H 16/08 15:21:32 7:15:12 2:31:24
SEH 16/08 15:24:23 7:18:03 2:34:15
V3H 16/08 15:27:27 7:21:07 2:37:19
SEH 16/08 15:27:30 7:21:10 2:37:22
V1H 16/08 15:29:56 7:23:36 2:39:48
SEH 16/08 15:30:12 7:23:52 2:40:04
SEH 16/08 15:30:16 7:23:56 2:40:08
ESH 16/08 15:30:21 7:24:01 2:40:13
SEH 16/08 15:31:53 7:25:33 2:41:45
SEF 16/08 15:33:07 7:26:47 2:42:59
SEH 16/08 15:33:34 7:27:14 2:43:26
SEH 16/08 15:34:08 7:27:48 2:44:00
V1H 16/08 15:34:14 7:27:54 2:44:06
V1H 16/08 15:36:37 7:30:17 2:46:29
SEH 16/08 15:40:13 7:33:53 2:50:05
V1H 16/08 15:40:17 7:33:57 2:50:09
V1H 16/08 15:40:28 7:34:08 2:50:20
SEH 16/08 15:40:33 7:34:13 2:50:25
V2H 16/08 15:40:55 7:34:35 2:50:47
SEF 16/08 15:41:28 7:35:08 2:51:20
V1H 16/08 15:41:31 7:35:11 2:51:23
SEH 16/08 15:42:26 7:36:06 2:52:18
V2H 16/08 15:46:34 7:40:14 2:56:26
SEF 16/08 15:47:11 7:40:51 2:57:03
SEF 16/08 15:47:15 7:40:55 2:57:07
V1H 16/08 15:52:03 7:45:43 3:01:55
SEF 16/08 15:54:11 7:47:51 3:04:03
V1F 16/08 15:57:28 7:51:08 3:07:20
V1H 16/08 15:59:41 7:53:21 3:09:33
SEH 16/08 16:00:15 7:53:55 3:10:07
SEF 16/08 16:00:24 7:54:04 3:10:16
SEH 16/08 16:00:34 7:54:14 3:10:26
SEH 16/08 16:01:18 7:54:58 3:11:10
SEH 16/08 16:01:37 7:55:17 3:11:29
V1F 16/08 16:02:01 7:55:41 3:11:53
SEH 16/08 16:02:05 7:55:45 3:11:57
SEF 16/08 16:02:08 7:55:48 3:12:00
V2H 16/08 16:02:29 7:56:09 3:12:21
V2F 16/08 16:02:32 7:56:12 3:12:24
V3H 16/08 16:04:46 7:58:26 3:14:38
SEF 16/08 16:07:44 8:01:24 3:17:36
SEH 16/08 16:07:46 8:01:26 3:17:38
V1F 16/08 16:10:38 8:04:18 3:20:30
SEF 16/08 16:12:17 8:05:57 3:22:09
SEH 16/08 16:12:32 8:06:12 3:22:24
V2H 16/08 16:12:59 8:06:39 3:22:51
SEF 16/08 16:13:41 8:07:21 3:23:33
SEH 16/08 16:13:45 8:07:25 3:23:37
SEH 16/08 16:14:49 8:08:29 3:24:41
SEF 16/08 16:15:15 8:08:55 3:25:07
V1H 16/08 16:16:10 8:09:50 3:26:02
SEF 16/08 16:16:14 8:09:54 3:26:06
V2H 16/08 16:17:37 8:11:17 3:27:29
SEH 16/08 16:19:55 8:13:35 3:29:47
SEF 16/08 16:20:06 8:13:46 3:29:58
V1H 16/08 16:20:36 8:14:16 3:30:28
V2H 16/08 16:21:35 8:15:15 3:31:27
SEF 16/08 16:22:40 8:16:20 3:32:32
SEH 16/08 16:23:50 8:17:30 3:33:42
SEH 16/08 16:28:16 8:21:56 3:38:08
V1F 16/08 16:29:51 8:23:31 3:39:43
SEH 16/08 16:33:46 8:27:26 3:43:38
V2H 16/08 16:35:07 8:28:47 3:44:59
SEH 16/08 16:41:30 8:35:10 3:51:22
V2H 16/08 16:47:17 8:40:57 3:57:09
SEH 16/08 16:48:17 8:41:57 3:58:09
SEF 16/08 16:48:45 8:42:25 3:58:37
SEH 16/08 16:48:48 8:42:28 3:58:40
SEH 16/08 16:49:59 8:43:39 3:59:51
SEH 16/08 16:50:02 8:43:42 3:59:54
SEH 16/08 16:54:39 8:48:19 4:04:31
SEF 16/08 16:58:16 8:51:56 4:08:08
V1H 16/08 17:00:09 8:53:49 4:10:01
V1H 16/08 17:00:25 8:54:05 4:10:17
SEH 16/08 17:19:11 9:12:51 4:29:03
V1F 16/08 17:20:00 9:13:40 4:29:52
V1H 16/08 17:22:03 9:15:43 4:31:55
SEH 16/08 17:23:51 9:17:31 4:33:43
V1H 16/08 17:24:35 9:18:15 4:34:27
V2H 16/08 17:27:40 9:21:20 4:37:32
V3H 16/08 17:27:42 9:21:22 4:37:34
V1H 16/08 17:28:22 9:22:02 4:38:14
SEH 16/08 17:31:09 9:24:49 4:41:01
V1F 16/08 17:32:54 9:26:34 4:42:46
V1H 16/08 17:33:00 9:26:40 4:42:52
V1H 16/08 17:33:13 9:26:53 4:43:05
SEF 16/08 17:39:32 9:33:12 4:49:24
V2F 16/08 17:39:34 9:33:14 4:49:26
V3F 16/08 17:39:37 9:33:17 4:49:29
V2F 16/08 17:44:17 9:37:57 4:54:09
V2H 16/08 17:45:39 9:39:19 4:55:31
V2F 16/08 17:47:14 9:40:54 4:57:06
V1H 16/08 17:50:07 9:43:47 4:59:59
V1H 16/08 17:50:11 9:43:51 5:00:03
SEH 16/08 17:51:09 9:44:49 5:01:01
V1F 16/08 17:51:11 9:44:51 5:01:03
SEF 16/08 17:51:12 9:44:52 5:01:04
SEH 16/08 17:56:45 9:50:25 5:06:37
V1F 16/08 17:58:05 9:51:45 5:07:57
SEF 16/08 17:58:46 9:52:26 5:08:38
V1F 16/08 18:08:46 10:02:26 5:18:38
SEH 16/08 18:20:20 10:14:00 5:30:12
SEH 16/08 18:20:21 10:14:01 5:30:13
V1H 16/08 18:21:24 10:15:04 5:31:16
V1H 16/08 18:21:54 10:15:34 5:31:46
SEF 16/08 18:28:41 10:22:21 5:38:33
V2H 16/08 18:28:49 10:22:29 5:38:41
SEF 16/08 18:51:05 10:44:45 6:00:57
SEH 16/08 18:51:32 10:45:12 6:01:24
SEH 16/08 18:51:36 10:45:16 6:01:28
V1F 16/08 19:03:37 10:57:17 6:13:29
V1H 16/08 19:09:19 11:02:59 6:19:11
V2H 16/08 19:09:20 11:03:00 6:19:12
V2F 16/08 19:23:28 11:17:08 6:33:20
SEH 16/08 19:34:24 11:28:04 6:44:16
