Cat. Arrivée Tps cumulé Diff.
SEH 18/08 12:25:25 4:21:26
V1H 18/08 13:05:22 5:01:23 0:39:57
SEH 18/08 13:40:26 5:36:27 1:15:01
ESF 18/08 13:40:45 5:36:46 1:15:20
SEH 18/08 14:11:45 6:07:46 1:46:20
SEH 18/08 14:15:04 6:11:05 1:49:39
V1H 18/08 14:16:24 6:12:25 1:50:59
SEH 18/08 14:22:52 6:18:53 1:57:27
SEH 18/08 14:23:44 6:19:45 1:58:19
SEH 18/08 14:31:48 6:27:49 2:06:23
V2H 18/08 14:49:47 6:45:48 2:24:22
SEF 18/08 14:51:14 6:47:15 2:25:49
SEH 18/08 14:53:34 6:49:35 2:28:09
SEH 18/08 14:54:50 6:50:51 2:29:25
SEF 18/08 14:55:53 6:51:54 2:30:28
ESH 18/08 14:56:33 6:52:34 2:31:08
SEH 18/08 15:01:50 6:57:51 2:36:25
SEH 18/08 15:02:30 6:58:31 2:37:05
SEH 18/08 15:02:38 6:58:39 2:37:13
V1H 18/08 15:02:54 6:58:55 2:37:29
SEH 18/08 15:04:36 7:00:37 2:39:11
SEF 18/08 15:12:38 7:08:39 2:47:13
SEH 18/08 15:14:08 7:10:09 2:48:43
SEH 18/08 15:19:31 7:15:32 2:54:06
SEH 18/08 15:21:41 7:17:42 2:56:16
V1H 18/08 15:22:43 7:18:44 2:57:18
SEH 18/08 15:22:50 7:18:51 2:57:25
V1H 18/08 15:23:32 7:19:33 2:58:07
SEH 18/08 15:25:41 7:21:42 3:00:16
SEH 18/08 15:27:06 7:23:07 3:01:41
V1H 18/08 15:30:44 7:26:45 3:05:19
V1H 18/08 15:31:49 7:27:50 3:06:24
SEH 18/08 15:33:18 7:29:19 3:07:53
SEH 18/08 15:35:28 7:31:29 3:10:03
V1H 18/08 15:41:25 7:37:26 3:16:00
SEH 18/08 15:43:21 7:39:22 3:17:56
SEF 18/08 15:43:29 7:39:30 3:18:04
V1F 18/08 15:46:02 7:42:03 3:20:37
V1F 18/08 15:50:38 7:46:39 3:25:13
SEH 18/08 15:50:48 7:46:49 3:25:23
SEH 18/08 15:52:34 7:48:35 3:27:09
SEF 18/08 15:54:56 7:50:57 3:29:31
V2H 18/08 15:55:18 7:51:19 3:29:53
SEH 18/08 15:56:32 7:52:33 3:31:07
V1F 18/08 15:57:02 7:53:03 3:31:37
