Total,TimeBin,Women,Men,ESH,ESF,SEH,SEF,V1H,V1F,V2H,V2F,V3H,V3F,V4H,V4F
1,300 min,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,315 min,0,3,0,0,3,0,0,0,0,0,0,0,0,0
0,330 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,345 min,0,3,0,0,3,0,0,0,0,0,0,0,0,0
6,360 min,0,6,1,0,3,0,2,0,0,0,0,0,0,0
3,375 min,0,3,1,0,2,0,0,0,0,0,0,0,0,0
5,390 min,1,4,0,0,2,0,1,1,1,0,0,0,0,0
8,405 min,1,7,0,0,6,0,1,1,0,0,0,0,0,0
19,420 min,3,16,1,0,15,3,0,0,0,0,0,0,0,0
24,435 min,1,23,0,0,16,0,5,1,2,0,0,0,0,0
18,450 min,4,14,0,0,8,4,6,0,0,0,0,0,0,0
28,465 min,4,24,2,0,14,3,5,1,3,0,0,0,0,0
24,480 min,3,21,0,0,10,3,9,0,2,0,0,0,0,0
35,495 min,7,28,1,0,12,5,10,2,3,0,2,0,0,0
35,510 min,6,29,2,0,16,3,9,3,2,0,0,0,0,0
47,525 min,9,38,2,0,17,7,13,1,5,1,1,0,0,0
43,540 min,6,37,0,0,18,2,16,2,2,2,1,0,0,0
37,555 min,7,30,2,0,19,2,5,4,2,1,2,0,0,0
48,570 min,12,36,1,1,21,6,7,5,6,0,1,0,0,0
53,585 min,11,42,1,0,22,5,14,5,4,1,1,0,0,0
45,600 min,4,41,0,0,23,2,11,1,5,1,2,0,0,0
64,615 min,11,53,1,0,18,4,25,5,8,2,1,0,0,0
50,630 min,12,38,0,1,19,6,9,1,6,4,3,0,1,0
52,645 min,20,32,1,0,11,6,14,11,5,2,1,1,0,0
66,660 min,20,46,0,0,23,8,13,9,4,2,5,1,1,0
49,675 min,12,37,0,1,17,7,16,4,2,0,2,0,0,0
49,690 min,19,30,0,0,17,11,8,3,3,4,2,1,0,0
51,705 min,16,35,1,0,11,8,17,6,3,1,3,1,0,0
43,720 min,8,35,1,0,14,4,17,4,2,0,1,0,0,0
47,735 min,16,31,0,1,11,3,7,8,12,3,1,1,0,0
36,750 min,13,23,0,0,5,9,10,2,6,1,2,1,0,0
31,765 min,13,18,0,0,5,2,7,6,4,4,1,0,1,1
28,780 min,11,17,0,1,5,3,7,3,2,3,2,1,1,0
20,795 min,7,13,0,0,4,4,4,2,3,1,2,0,0,0
16,810 min,7,9,0,0,3,1,1,2,1,2,3,2,1,0
19,825 min,9,10,0,0,2,2,4,4,4,1,0,1,0,1
2,840 min,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1,855 min,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,870 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,885 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,900 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
