Total,TimeBin,Women,Men
1,255 min,0,1
1,270 min,0,1
1,285 min,0,1
4,300 min,0,4
4,315 min,0,4
4,330 min,1,3
14,345 min,1,13
6,360 min,0,6
17,375 min,2,15
26,390 min,4,22
20,405 min,2,18
11,420 min,4,7
20,435 min,3,17
20,450 min,1,19
16,465 min,2,14
18,480 min,3,15
15,495 min,6,9
21,510 min,5,16
14,525 min,5,9
16,540 min,5,11
13,555 min,5,8
10,570 min,4,6
7,585 min,5,2
4,600 min,2,2
2,615 min,1,1
6,630 min,4,2
3,645 min,1,2
7,660 min,4,3
5,675 min,3,2
6,690 min,4,2
6,705 min,2,4
0,720 min,0,0
0,735 min,0,0
5,750 min,2,3
